FileName	CAS	Name	RT	RI	Width	Purity	Model	Min. Abund.	Amount	Scan	Peak Tailing	S/N (total)	Base Peak	Max. Amount	Area	Intgr.Signal	Max. Area	Extra Width	Models	Frac. Good	Expec. RT	RI-RI(lib)	Net	Weighted	Simple	Reverse	Corrections	(m/z)	S/N (m/z)	Area % (m/z)	Conc.	RT-RT(lib)
D:\GETTY\NETCDF\NB2-CENTROID.FIN	106-98-9	?? 1-Butene (or isomer)	0.6367	812.1	4.0 scans	60%	41 m/z	4.1%	0.0499%	96	0.8	82	25147	0.0719%	280002	280002	402949	0-0	12: 41 56 39 45 55 27 29 46 26 53 38 51	0.926		426.1	69	86	83	98		1365	0.0	0.000		
D:\GETTY\NETCDF\NB2-CENTROID.FIN	109-69-3	?? Butane, 1-chloro-	0.6367	812.1	4.0 scans	60%	41 m/z	4.1%	0.0499%	96	0.8	82	25147	0.0719%	280002	280002	402949	0-0	12: 41 56 39 45 55 27 29 46 26 53 38 51	0.926		172.1	61	66	66	76		1456	0.0	0.000		
D:\GETTY\NETCDF\NB2-CENTROID.FIN	71-36-3	?? 1-Butanol	0.6367	812.1	4.0 scans	60%	41 m/z	4.1%	0.0499%	96	0.8	82	25147	0.0719%	280002	280002	402949	0-0	12: 41 56 39 45 55 27 29 46 26 53 38 51	0.926		153.1	60	67	56	67		631	0.0	0.000		
D:\GETTY\NETCDF\NB2-CENTROID.FIN	75-50-3	Methylamine, N,N-dimethyl-	0.6820	818.8	9.5 scans	78%	58 m/z (41)	0.37%	1.20%	103	3.2	223	274253		6738213	6423479		1-1	5: 58 59 42 43 40	0.996		316.8	83	99	97	99		1238	0.0	0.000		
D:\GETTY\NETCDF\NB2-CENTROID.FIN	67-56-1	? Methyl Alcohol	0.7174	824.0	4.2 scans	61%	31 m/z	0.21%	1.05%	108	0.7	312	485126	1.08%	5932885	5248444	6052638	4-3	5: 31 32 29 33 13	0.891		470.0	79	98	98	99		1257	0.0	0.000		
D:\GETTY\NETCDF\NB2-CENTROID.FIN	64-17-5	?? Ethanol	0.7707	831.9	4.7 scans	11%	31 m/z (18)	3.0%	0.0755%	116	1.0	87	33643	0.118%	423205	423205	661307	0-0	8: 31 43 45 44 27 72 41 40	0.948		404.9	64	86	83	86		1099	0.0	0.000		
D:\GETTY\NETCDF\NB2-CENTROID.FIN	79-20-9	? Methyl acetate	0.8167	838.8	2.2 scans	28%	43 m/z (18)	3.5%	0.0327%	123	1.0	72	29280		183568	161224		0-2	2: 43 74	0.899		312.8	71	86	79	93		745	0.0	0.000		
D:\GETTY\NETCDF\NB2-CENTROID.FIN	116-09-6	?? 2-Propanone, 1-hydroxy-	0.8167	838.8	2.2 scans	28%	43 m/z (18)	3.5%	0.0327%	123	1.0	72	29280		183568	161224		0-2	2: 43 74	0.899		172.8	63	69	65	83		1066	0.0	0.000		
D:\GETTY\NETCDF\NB2-CENTROID.FIN	116-09-6	?? 2-Propanone, 1-hydroxy-	0.8167	838.8	2.2 scans	14%	43 m/z	3.5%	0.0159%	123	1.0	51	28851		89257	78393		0-2	2: 43 74	0.784		172.8	63	80	63	83		1066	0.0	0.000		
D:\GETTY\NETCDF\NB2-CENTROID.FIN	123-72-8	? Butanal	0.9433	857.5	2.5 scans	57%	27 m/z	6.9%	0.0493%	142	1.6	83	14849	0.0543%	276468	217491	304313	0-3	10: 27 44 41 43 29 72 39 57 26 38	0.917		264.5	78	93	88	93		694	0.0	0.000		
D:\GETTY\NETCDF\NB2-CENTROID.FIN	96-33-3	? Methyl acrylate	1.0186	868.7	2.5 scans	51%	55 m/z	3.2%	0.0305%	153	1.6	68	31426		171032	162258		2-2	4: 55 27 85 26	0.815		297.7	76	95	81	94		1474	0.0	0.000		
D:\GETTY\NETCDF\NB2-CENTROID.FIN	106-63-8	?? Isobutyl acrylate	1.0186	868.7	2.5 scans	51%	55 m/z	3.2%	0.0305%	153	1.6	68	31426		171032	162258		2-2	4: 55 27 85 26	0.815		10.6	66	70	60	69		1203	0.0	0.000		
D:\GETTY\NETCDF\NB2-CENTROID.FIN	554-12-1	? Methyl propionate	1.0766	877.3	2.6 scans	60%	57 m/z	5.0%	0.0323%	162	1.3	69	20393		181338	155078		1-3	10: 57 29 59 88 27 15 10 26 31 55	0.958		250.3	79	94	89	94		1678	0.0	0.000		
D:\GETTY\NETCDF\NB2-CENTROID.FIN	5077-67-8	? 1-Hydroxy-2-butanone	1.0766	877.3	2.6 scans	60%	57 m/z	5.0%	0.0323%	162	1.3	69	20393		181338	155078		1-3	10: 57 29 59 88 27 15 10 26 31 55	0.958		108.3	70	78	72	78		653	0.0	0.000		
D:\GETTY\NETCDF\NB2-CENTROID.FIN	14548-32-4	?? 4-Methylenecyclopentene	1.1113	882.5	2.2 scans	18%	79 m/z	37%	0.00299%	167	1.8	23	2775	0.00458%	16757	16757	25668	0-0	3: 79 77 80	0.970		239.5	62	80	61	90		1535	0.0	0.000		
D:\GETTY\NETCDF\NB2-CENTROID.FIN	109-69-3	?? Butane, 1-chloro-	1.1466	887.7	2.5 scans	17%	56 m/z	32%	0.00343%	173	1.3	23	3228		19255	19255		0-0	3: 56 41 43	0.830		247.7	62	84	70	83		1456	0.0	0.000		
D:\GETTY\NETCDF\NB2-CENTROID.FIN	71-43-2	? Benzene	1.2033	896.1	2.7 scans	28%	TIC	14%	0.00222%	181	0.6	30	6974	0.00222%	12465	12465	12442	0-0		0.948		242.1	78	92	80	92		1246	0.0	0.000		
D:\GETTY\NETCDF\NB2-CENTROID.FIN	71-36-3	1-Butanol	1.2932	909.4	5.1 scans	95%	31 m/z	0.15%	3.65%	194	0.4	534	664869		20472344	19000579		1-2	20: 31 56 41 43 27 42 29 55 39 28 33 45 57 44 40 26 15 19 38 53	0.999		250.4	88	98	97	99		631	0.0	0.000		
D:\GETTY\NETCDF\NB2-CENTROID.FIN	111-27-3	? 1-Hexanol	1.2932	909.4	5.1 scans	95%	31 m/z	0.15%	3.65%	194	0.4	534	664869		20472344	19000579		1-2	20: 31 56 41 43 27 42 29 55 39 28 33 45 57 44 40 26 15 19 38 53	0.999		41.4	78	78	87	78		1067	0.0	0.000		
D:\GETTY\NETCDF\NB2-CENTROID.FIN	109-69-3	?? Butane, 1-chloro-	1.2932	909.4	5.1 scans	95%	31 m/z	0.15%	3.65%	194	0.4	534	664869		20472344	19000579		1-2	20: 31 56 41 43 27 42 29 55 39 28 33 45 57 44 40 26 15 19 38 53	0.999		269.4	66	74	69	85		1456	0.0	0.000		
D:\GETTY\NETCDF\NB2-CENTROID.FIN	123-86-4	?? Acetic acid, butyl ester	1.2932	909.4	5.1 scans	95%	31 m/z	0.15%	3.65%	194	0.4	534	664869		20472344	19000579		1-2	20: 31 56 41 43 27 42 29 55 39 28 33 45 57 44 40 26 15 19 38 53	0.999		97.4	61	63	68	64		1235	0.0	0.000		
D:\GETTY\NETCDF\NB2-CENTROID.FIN	126-30-7	?? Neopentyl glycol	1.2932	909.4	5.1 scans	95%	31 m/z	0.15%	3.65%	194	0.4	534	664869		20472344	19000579		1-2	20: 31 56 41 43 27 42 29 55 39 28 33 45 57 44 40 26 15 19 38 53	0.999		14.4	61	61	69	61		1368	0.0	0.000		
D:\GETTY\NETCDF\NB2-CENTROID.FIN	57-CAP-N1002	?? Butanoic acid compound (CAB)	1.3419	916.7	>4 scans	41%	43 m/z	8.1%	0.0250%	202	2.0	51	12643		140315	128984		0-3	8: 43 71 59 87 41 15 39 27	0.908		-55.6	69	68	66	80		1593	0.0	0.000		
D:\GETTY\NETCDF\NB2-CENTROID.FIN	80-62-6	Methyl methacrylate	1.5092	941.5	3.2 scans	98%	41 m/z	0.023%	8.73%	227	1.0	1047	4314414		48934700	48718728		0-2	20: 41 69 39 100 99 15 40 59 55 85 42 38 29 56 70 82 28 37 27 45	1.000		227.5	88	98	99	98		1357	0.0	0.000		
D:\GETTY\NETCDF\NB2-CENTROID.FIN	868-77-9	?? 2-Hydroxyethyl methacrylate	1.5092	941.5	3.2 scans	98%	41 m/z	0.023%	8.73%	227	1.0	1047	4314414		48934700	48718728		0-2	20: 41 69 39 100 99 15 40 59 55 85 42 38 29 56 70 82 28 37 27 45	1.000		-72.5	61	63	75	63		1160	0.0	0.000		
D:\GETTY\NETCDF\NB2-CENTROID.FIN	540-42-1	?? n-Propyl isobutyrate	1.6365	960.4	3.7 scans	24%	TIC	23%	0.00273%	246	1.9	30	4357	0.00503%	15348	12975	28190	2-0		0.801		94.4	67	78	67	77		1205	0.0	0.000		
D:\GETTY\NETCDF\NB2-CENTROID.FIN	13475-82-6	?? Heptane, 2,2,4,6,6-pentamethyl-	1.6365	960.4	3.7 scans	24%	TIC	23%	0.00273%	246	1.9	30	4357	0.00503%	15348	12975	28190	2-0		0.801		-29.6	65	71	68	71		1336	0.0	0.000		
D:\GETTY\NETCDF\NB2-CENTROID.FIN	13475-82-6	?? Heptane, 2,2,4,6,6-pentamethyl-	1.6378	960.6	3.1 scans	19%	57 m/z	24%	0.00557%	246	1.2	26	4224		31215	31215		0-0	2: 57 56	0.718		-29.4	63	72	68	72		1336	0.0	0.000		
D:\GETTY\NETCDF\NB2-CENTROID.FIN	540-42-1	?? n-Propyl isobutyrate	1.6378	960.6	3.1 scans	19%	57 m/z	24%	0.00557%	246	1.2	26	4224		31215	31215		0-0	2: 57 56	0.718		94.6	62	78	52	77		1205	0.0	0.000		
D:\GETTY\NETCDF\NB2-CENTROID.FIN	108-88-3	? Toluene	2.0404	1020.3	3.3 scans	25%	91 m/z	16%	0.00687%	307	1.0	29	6343		38536	38536		0-0	3: 91 92 39	0.855		257.3	74	94	78	93		72	0.0	0.000		
D:\GETTY\NETCDF\NB2-CENTROID.FIN	538-93-2	? Benzene, (2-methylpropyl)-	2.0404	1020.3	3.3 scans	25%	91 m/z	16%	0.00687%	307	1.0	29	6343		38536	38536		0-0	3: 91 92 39	0.855		23.3	70	84	64	82		1201	0.0	0.000		
D:\GETTY\NETCDF\NB2-CENTROID.FIN	104-51-8	?? Benzene, n-butyl-	2.0404	1020.3	3.3 scans	25%	91 m/z	16%	0.00687%	307	1.0	29	6343		38536	38536		0-0	3: 91 92 39	0.855		-33.7	68	82	61	79		76	0.0	0.000		
D:\GETTY\NETCDF\NB2-CENTROID.FIN	538-93-2	? Benzene, (2-methylpropyl)-	2.0417	1020.5	3.6 scans	24%	TIC	16%	0.00322%	307	0.7	28	6343		18089	13850		4-0		0.812		23.5	73	84	61	81		1201	0.0	0.000		
D:\GETTY\NETCDF\NB2-CENTROID.FIN	108-88-3	? Toluene	2.0417	1020.5	3.6 scans	24%	TIC	16%	0.00322%	307	0.7	28	6343		18089	13850		4-0		0.812		257.5	72	94	74	93		72	0.0	0.000		
D:\GETTY\NETCDF\NB2-CENTROID.FIN	104-51-8	? Benzene, n-butyl-	2.0417	1020.5	3.6 scans	24%	TIC	16%	0.00322%	307	0.7	28	6343		18089	13850		4-0		0.812		-33.5	70	81	59	79		76	0.0	0.000		
D:\GETTY\NETCDF\NB2-CENTROID.FIN	123-86-4	? Acetic acid, butyl ester	2.8202	1134.8	4.8 scans	44%	43 m/z	5.4%	0.0365%	423	3.6	52	19055		204685	178312		8-2	9: 43 56 61 73 27 41 29 55 39	0.917		322.8	71	91	79	90		1235	0.0	0.000		
D:\GETTY\NETCDF\NB2-CENTROID.FIN	110-19-0	?? Isobutyl acetate	2.8202	1134.8	4.8 scans	44%	43 m/z	5.4%	0.0365%	423	3.6	52	19055		204685	178312		8-2	9: 43 56 61 73 27 41 29 55 39	0.917		362.8	61	82	74	81		1343	0.0	0.000		
D:\GETTY\NETCDF\NB2-CENTROID.FIN	100-42-5	? Styrene	4.1992	1337.1	4.1 scans	52%	104 m/z	6.8%	0.0359%	630	1.3	58	15184		201426	200597		0-2	10: 104 103 78 77 51 105 50 102 52 39	0.953		444.1	75	97	89	97		268	0.0	0.000		
D:\GETTY\NETCDF\NB2-CENTROID.FIN	141-32-2	? n-Butyl acrylate	4.3238	1356.1	3.0 scans	98%	55 m/z	0.043%	3.72%	649	1.6	679	2367186		20871771	20513086		0-3	20: 55 56 73 27 41 29 28 85 57 39 43 26 31 42 69 70 99 74 68 53	0.999		495.1	78	97	97	97		1362	0.0	0.000		
D:\GETTY\NETCDF\NB2-CENTROID.FIN	925-60-0	? n-Propyl acrylate	4.3238	1356.1	3.0 scans	98%	55 m/z	0.043%	3.72%	649	1.6	679	2367186		20871771	20513086		0-3	20: 55 56 73 27 41 29 28 85 57 39 43 26 31 42 69 70 99 74 68 53	0.999			75	84	85	85		1054	0.0	0.000		
D:\GETTY\NETCDF\NB2-CENTROID.FIN	106-63-8	? Isobutyl acrylate	4.3238	1356.1	3.0 scans	98%	55 m/z	0.043%	3.72%	649	1.6	679	2367186		20871771	20513086		0-3	20: 55 56 73 27 41 29 28 85 57 39 43 26 31 42 69 70 99 74 68 53	0.999		498.0	74	92	95	94		1203	0.0	0.000		
D:\GETTY\NETCDF\NB2-CENTROID.FIN	94-96-2	?? 1,3-Hexanediol, 2-ethyl-	4.3238	1356.1	3.0 scans	98%	55 m/z	0.043%	3.72%	649	1.6	679	2367186		20871771	20513086		0-3	20: 55 56 73 27 41 29 28 85 57 39 43 26 31 42 69 70 99 74 68 53	0.999			60	69	77	69		1001	0.0	0.000		
D:\GETTY\NETCDF\NB2-CENTROID.FIN	590-01-2	?? Propanoic acid, butyl ester	4.5957	1397.6	3.5 scans	28%	57 m/z	14%	0.0118%	690	2.9	33	7340	0.0120%	66337	59168	67252	0-1	5: 57 29 56 75 41	0.802		489.6	62	92	76	91		1423	0.0	0.000		
D:\GETTY\NETCDF\NB2-CENTROID.FIN	1671-75-6	?? Heptanophenone	5.4362	1534.1	3.0 scans	11%	105 m/z	38%	0.00221%	816	1.2	17	2715		12386	12386		0-0	2: 105 120	0.782		-36.9	67	80	59	80		285	0.0	0.000		
D:\GETTY\NETCDF\NB2-CENTROID.FIN	942-92-7	?? 1-Hexanone, 1-phenyl-	5.4362	1534.1	3.0 scans	11%	105 m/z	38%	0.00221%	816	1.2	17	2715		12386	12386		0-0	2: 105 120	0.782		61.1	65	79	57	79		287	0.0	0.000		
D:\GETTY\NETCDF\NB2-CENTROID.FIN	97-88-1	? n-Butyl methacrylate	5.6049	1562.6	3.1 scans	86%	69 m/z	1.4%	0.202%	841	2.0	152	70781		1136715	1049771		1-3	17: 69 41 87 56 39 29 55 27 43 57 70 59 88 86 38 26 31	0.982		573.6	77	97	95	97		1363	0.0	0.000		
