"name","mf","idx","formula","mw","qindx","dri","tol","mfp","modmf","ri","rt"
"2-Ethylhexane",919.36,131,"C8H18","114",28,10.2,7.7,16.2,903.16,770.4,1.6475
"2-Ethyl-1-hexene",927.98,132,"C8H16","112",30,0.1,7.77,0,927.98,777.4,1.7441
"Octane",875.31,66,"C8H18","114",33,17.3,7.83,60.51,814.79,782.7,1.8188
"1-Octene",724.4,67,"C8H16","112",34,3.3,7.88,0,724.4,788.1,1.8941
"2,4-Dimethyl-1-heptene",952.89,21,"C9H18","126",38,27,8.04,117.83,835.06,804.4,2.12
"3-Methyl-5-methyleneheptane",926.59,133,"C9H18","126",39,30.9,8.09,141.09,785.49,808.5,2.178
"1-Nonene",886.82,65,"C9H18","126",58,6.4,8.94,0,886.82,893.9,3.3671
"Nonane",896.11,64,"C9H20","128",61,0.2,9,0,896.11,900.2,3.455
"1-Decene",916.29,63,"C10H20","140",79,27.9,9.61,95.1,821.19,961.4,4.3075
"Decane",883.19,62,"C10H22","142",80,32,9.68,115.29,767.9,968,4.3995
"C11H22",733.14,157,"C11H22","154",89,8.3,10.06,0,733.14,1006.5,4.91
"C11H24",815.34,156,"C11H24","156",95,4.1,10.49,0,815.34,1048.7,5.3312
"Undecane",903.89,60,"C11H24","156",95,51.3,10.49,194.59,709.3,1048.7,5.3312
"2,4,6-Trimethyl-1-nonene (isomer 1)",818.44,19,"C12H24","168",98,9.8,10.64,0,818.44,1064,5.4846
"2,4,6-Trimethyl-1-nonene (isomer 2)",834.01,158,"C12H24","168",99,7.9,10.7,0,834.01,1070.2,5.5465
"1-Undecene",940.21,61,"C11H22","154",108,47.2,11.37,157.51,782.7,1137.3,6.1531
"2,4-Diethyl-6-methyl-1-octene",772.84,153,"C13H26","182",110,9.6,11.55,0,772.84,1155,6.2997
"1-Dodecene",772.52,59,"C12H24","168",114,10.5,11.8,0,772.52,1179.8,6.5056
"Dodecane",811.99,58,"C12H26","170",118,7.2,12.07,0,811.99,1207.2,6.7269
"1,12-Tridecadiene",838.44,46,"C13H24","180",123,45.1,12.37,132.31,706.13,1236.9,6.9455
"1-Tridecene",945.98,57,"C13H26","182",125,43.5,12.47,124.43,821.54,1246.9,7.0189
"2,4,6,8-Tetramethyl-1-undecene (isomer 1)",863.32,18,"C15H30","210",133,4,12.95,0,863.32,1295.4,7.3761
"2,4,6,8-Tetramethyl-1-undecene (isomer 2)",843.13,17,"C15H30","210",133,12.6,12.95,0,843.13,1295.4,7.3761
"Tridecane",832.16,56,"C13H28","184",135,16.3,13.16,11.92,820.24,1316.3,7.5207
"2,4,6,8-Tetramethyl-1-undecene (isomer 3)",777.49,16,"C15H30","210",137,20,13.37,24.82,752.68,1336.6,7.658
"1-Tetradecene",940.13,55,"C14H28","196",141,27.1,13.63,49.38,890.75,1363.5,7.8406
"Tetradecane",914.58,54,"C14H30","198",142,26.6,13.73,46.84,867.74,1373.4,7.908
"2,4,6-Triethyl-1-decene (isomer 1)",816.24,152,"C16H32","224",146,6,14.04,0,816.24,1403.8,8.1119
"2,4,6-Triethyl-1-decene (isomer 2)",764.38,148,"C16H32","224",148,10.7,14.24,0,764.38,1424.2,8.2412
"2,4,6-Triethyl-8-methyl-1-decene",804.53,151,"C17H34","238",149,19.1,14.38,16.43,788.1,1437.7,8.3265
"2,4,6,8,10-Pentamethyl-1-tridecene (isomer)",908.04,15,"C18H36","252",151,57.3,14.57,146.57,761.47,1457.5,8.4518
"1,14-Pentadecadiene",909.92,45,"C15H28","208",152,8.2,14.74,0,909.92,1474.5,8.5591
"1-Pentadecene",942.79,53,"C15H30","210",153,6.2,14.85,0,942.79,1484.5,8.6224
"2,4,6,8-Tetraethyl-1,8-nonadiene",733.86,150,"C17H32","236",154,19.2,14.92,14.35,719.51,1491.8,8.6691
"Pentadecane",815.96,52,"C15H32","212",155,5.9,14.94,0,815.96,1494.1,8.6831
"2,4,6,8,10,12-Hexamethyl-1,12-tridecadiene (isomer)",851.96,14,"C19H36","264",159,60.4,15.25,148.06,703.9,1524.8,8.8684
"1,15-Hexadecadiene",887.78,44,"C16H30","222",168,15.6,15.99,0,887.78,1598.6,9.3076
"Hexadecane",754.95,50,"C16H34","226",169,1.2,16.01,0,754.95,1601.2,9.3229
"1-Hexadecene",937.55,51,"C16H32","224",170,18.4,16.09,7.17,930.38,1609.1,9.3676
"2,4,6,8-Tetraethyl-1-dodecene (isomer1)",870.05,149,"C20H40","280",179,5.3,16.82,0,870.05,1681.5,9.7768
"2,4,6,8-Tetraethyl-1-dodecene (isomer 2)",867.2,147,"C20H40","280",179,22.3,16.82,16.31,850.89,1681.5,9.7768
"2,4,6,8,10,12-Hexamethyl-1-pentadecene (isomer 1)",903.23,13,"C21H42","294",182,20.5,17.06,10.07,893.17,1706.4,9.9181
"2,4,6,8-Tetraethyl-10-methyl-1-dodecene",895.39,146,"C21H42","294",183,15.1,17.17,0,895.39,1716.7,9.9708
"1,16-Heptadecadiene",798.49,43,"C17H32","236",184,42.5,17.26,73.13,725.36,1725.8,10.0194
"1-Heptadecene",930.16,42,"C17H34","238",186,45,17.36,79.62,850.54,1735.8,10.0728
"1-Octadecene",939.36,39,"C18H36","252",186,55.2,17.36,109,830.36,1735.8,10.0728
"Octadecane",886.28,38,"C18H38","254",187,54.5,17.45,106.12,780.16,1745.5,10.1247
"Heptadecane",855.78,41,"C17H36","240",187,45.5,17.45,80.34,775.44,1745.5,10.1247
"2,4,6,8,10,12-Hexamethyl-1-pentadecene (isomer 2)",929.04,12,"C21H42","294",188,5.9,17.5,0,929.04,1750.3,10.1507
"2,4,6,8,10-Pentaethyl-1,10-undecadiene",773.73,145,"C21H40","292",189,15.2,17.64,0,773.73,1764.5,10.2267
"2,4,6,8,10,12,14-Heptamethyl-1,14-pentadecadiene (isomer)",935.62,11,"C22H42","306",191,1.2,17.99,0,935.62,1799.4,10.414
"1,17-Octadecadiene",720.44,40,"C18H34","250",191,15.7,17.99,0,720.44,1799.4,10.414
"1,18-Nonadecadiene",790.23,37,"C19H36","264",195,29.6,18.55,29.81,760.43,1854.5,10.6959
"1-Nonadecene",934.74,36,"C19H38","266",196,27.1,18.64,22.69,912.05,1864.1,10.7446
"Nonadecane",901.84,35,"C19H40","268",197,26.6,18.73,20.99,880.85,1873.4,10.7926
"2,4,6,8,10-Pentaethyl-1-tetradecene",958.47,144,"C24H48","336",207,17.8,19.72,0,958.47,1971.9,11.2791
"1-Eicosene",912.19,33,"C20H40","280",210,3.1,19.94,0,912.19,1994.4,11.3891
"Eicosane",819.97,32,"C20H42","282",213,3.3,20.03,0,819.97,2003.3,11.4318
"2,4,6,8,10,12,14,16-Octamethyl-1,16-heptadecadiene (isomer)",942.66,10,"C25H48","348",217,34.1,20.45,33.39,909.27,2044.7,11.6244
"2,4,6,8,10,12-Hexaethyl-1,12-tridecadiene",928.62,143,"C25H48","348",218,41.5,20.59,50.78,877.84,2059,11.691
"1,20-Heneicosadiene",910.85,31,"C21H40","292",222,32.2,21.17,26.04,884.81,2117.3,11.9596
"1,21-Docosadiene",907.61,29,"C22H42","306",222,68.1,21.17,110.82,796.79,2117.3,11.9596
"1-Heneicosene",953.19,30,"C21H42","294",223,34.9,21.26,32.06,921.13,2126.4,12.0003
"Heneicosane",905.53,23,"C21H44","296",224,35.8,21.36,33.81,871.72,2135.8,12.0423
"Docosane",917.58,27,"C22H46","310",224,64.2,21.36,100.29,817.28,2135.8,12.0423
"1-Docosene",738.22,28,"C22H44","308",225,29.4,21.62,17.99,720.24,2162.2,12.1603
"2,4,6,8,10,12-Hexaethyl-1-hexadecene",824.67,142,"C28H56","392",227,14.1,22.02,0,824.67,2201.6,12.3362
"2,4,6,8,10,12,14,16,18-Nonamethyl-1,18-nonadecadiene (isomer)",824.17,9,"C28H54","390",231,1.4,22.24,0,824.17,2224.1,12.4329
"1,22-Tricosadiene",809.62,26,"C23H44","320",234,34.8,22.51,27.3,782.31,2250.9,12.5508
"1-Tricosene",930.29,25,"C23H46","322",235,30.7,22.61,17.89,912.4,2261.1,12.5915
"Tricosane",889.07,24,"C23H48","324",236,31.3,22.69,18.98,870.09,2268.7,12.6241
"2,4,6,8,10,12,14-Heptaethyl-1,14-pentadecadiene",889.53,141,"C29H56","404",238,7.8,22.9,0,889.53,2289.6,12.7134
"2,4,6,8,10,12,14,16-Octaethyl-1,16-heptadecadiene",876.56,139,"C33H64","460",254,88.4,24.56,130,746.56,2455.6,13.3919
"2,4,6,8,10,12,14,16,18,20-Decamethyl-1,20-henicosadiene (isomer)",907.65,8,"C31H60","432",255,58.3,24.93,66.95,840.7,2492.6,13.5393
"2,4,6,8,10,12,14-Heptaethyl-1-octadecene",806.65,140,"C32H64","448",257,46.1,25.22,41.41,765.24,2521.5,13.6506
"2,4,6,8,10,12,14,16,18,20,22-Undecamethyl-1,22-tricosadiene (isomer)",931.31,7,"C34H66","474",264,18.5,26.27,0,931.31,2627.2,14.0511
"5,7,9,11,13,15,17-Heptaethyl-3,19-dimethylenehenicosane",907.42,138,"C37H72","516",275,12.3,27.93,0,907.42,2792.7,14.6516
"2,4,6,8,10,12,14,16,18,20,22,24-Dodecamethyl-1,24-pentacosadiene (isomer)",935.52,6,"C37H72","516",283,71.4,29.28,71.92,863.61,2928.2,15.1155
"5,7,9,11,13,15,17,19-octaethyl-3,21-dimethylenetricosane",894.82,137,"C41H80","572",289,41.3,30.25,18.26,876.55,3025,15.4361
"2,4,6,8,10,12,14,16,18,20,22,24,26-Tridecamethyl-1,26-heptacosadiene (isomer)",860.85,5,"C40H78","558",295,53.3,31.21,35.38,825.47,3121.2,15.7447
"2,4,6,8,10,12,14,16,18,20,22,24,26,28-Tetradecamethyl-1,28-nonacosadiene (isomer)",900.11,4,"C43H84","600",303,11.5,32.67,0,900.11,3266.9,16.1953
"2,4,6,8,10,12,14,16,18,20,22-Undecaethyl-1,22-tricosadiene",806.35,136,"C45H88","628",308,24.6,33.52,0,806.35,3351.9,16.4492
"2,4,6,8,10,12,14,16,18,20,22,24,26,28,30-Pentadecamethyl-1,30-hentriacontadiene (isomer)",922.15,3,"C46H90","642",319,59,35.48,33.15,889,3547.8,17.0137
"2,4,6,8,10,12,14,16,18,20,22,24-Dodecaethyl-1,24-pentacosadiene",893.08,135,"C49H96","684",320,23.9,35.64,0,893.08,3563.8,17.0591
"2,4,6,8,10,12,14,16,18,20,22,24,26,28,30,32-Hexadecamethyl-1,32-tritriacontadiene (isomer)",904.56,2,"C49H96","684",328,0.3,36.99,0,904.56,3698.7,17.4616
"2,4,6,8,10,12,14,16,18,20,22,24,26-Tridecaethyl-1,26-heptacosadiene",912.08,134,"C53H104","740",336,25.2,38.73,0,912.08,3873,18.1108
"2,4,6,8,10,12,14,16,18,20,22,24,26,28,30,32,34-Heptadecamethyl-1,34-pentatriacontadiene (isomer)",899.67,1,"C52H102","726",341,20.7,39.3,0,899.67,3930.3,18.3641
