"name","mf","idx","formula","mw","qindx","dri","tol","mfp","modmf","ri","rt"
"2-Ethylhexane",919.358861643944,131,"C8H18","114",28,10.1999999999999,7.704,16.1993769470401,903.159484696904,770.4,1.6475
"2-Ethyl-1-hexene",927.983253412989,132,"C8H16","112",30,0.100000000000023,7.774,0,927.983253412989,777.4,1.7441
"1-Octene",780.569808921628,67,"C8H16","112",30,7.39999999999998,7.774,0,780.569808921628,777.4,1.7441
"Octane",875.309213340444,66,"C8H18","114",33,17.3,7.827,60.5148843746004,814.794328965844,782.7,1.8188
"1-Octene",724.396299876227,67,"C8H16","112",34,3.30000000000007,7.881,0,724.396299876227,788.1,1.8941
"Octane",784.988910167423,66,"C8H18","114",35,5.70000000000005,7.943,0,784.988910167423,794.3,1.9801
"2,4-Dimethyl-1-heptene",952.889565844699,21,"C9H18","126",38,27,8.044,117.826951765291,835.062614079408,804.4,2.12
"1-Octene",792.577638991798,67,"C8H16","112",38,19.6,8.044,71.8299353555446,720.747703636253,804.4,2.12
"3-Methyl-5-methyleneheptane",926.586127830045,133,"C9H18","126",39,30.9,8.085,141.094619666048,785.491508163997,808.5,2.178
"2,4-Dimethyl-1-heptene",799.657519496433,21,"C9H18","126",39,22.9,8.085,91.6202844774272,708.037235019005,808.5,2.178
"2,4-Dimethyl-1-heptene",751.532522413211,21,"C9H18","126",45,2.5,8.289,0,751.532522413211,828.9,2.4626
"3-Methyl-5-methyleneheptane",739.33027817773,133,"C9H18","126",45,10.5,8.289,13.3369525877669,725.993325589963,828.9,2.4626
"2,4-Dimethyl-1-heptene",738.310151246717,21,"C9H18","126",46,0.299999999999955,8.311,0,738.310151246717,831.1,2.4926
"3-Methyl-5-methyleneheptane",701.785042409824,133,"C9H18","126",46,8.29999999999995,8.311,0,701.785042409824,831.1,2.4926
"1-Nonene",751.559160789756,65,"C9H18","126",54,11.4,8.761,15.0610660883459,736.49809470141,876.1,3.1198
"1-Nonene",739.597817623716,65,"C9H18","126",57,3.20000000000005,8.907,0,739.597817623716,890.7,3.3231
"1-Nonene",886.821633178989,65,"C9H18","126",58,6.39999999999998,8.939,0,886.821633178989,893.9,3.3671
"1-Nonene",731.002877525003,65,"C9H18","126",59,9.20000000000005,8.967,1.29920820787356,729.703669317129,896.7,3.4057
"Nonane",896.113217050455,64,"C9H20","128",61,0.200000000000045,9.002,0,896.113217050455,900.2,3.455
